Year,Month,(kg/mo),+/- (kg/mo),+/- Pct
1985,1,"335,930","118,939",35
1985,2,"2,926,648","1,173,935",40
1985,3,"425,299","104,895",25
1985,4,"331,288","79,703",24
1985,5,"1,771,143","557,715",31
1985,6,"1,430,202","534,064",37
1985,7,"863,798","267,879",31
1985,8,"394,411","120,572",31
1985,9,"4,792,451","2,868,706",60
1985,10,"781,394","227,332",29
1985,11,"1,668,075","505,406",30
1985,12,"628,584","215,517",34
1986,1,"559,196","245,051",44
1986,2,"1,155,053","284,697",25
1986,3,"794,350","166,085",21
1986,4,"1,906,651","575,435",30
1986,5,"367,648","65,519",18
1986,6,"355,153","133,258",38
1986,7,"389,542","150,044",39
1986,8,"684,135","212,082",31
1986,9,"61,588","13,559",22
1986,10,"90,323","23,482",26
1986,11,"1,182,667","335,765",28
1986,12,"3,080,845","1,075,922",35
1987,1,"1,617,022","413,414",26
1987,2,"519,110","111,191",21
1987,3,"1,395,634","552,494",40
1987,4,"2,569,310","553,482",22
1987,5,"2,018,966","669,002",33
1987,6,"1,186,285","451,507",38
1987,7,"1,278,672","392,094",31
1987,8,"156,536","33,803",22
1987,9,"7,028,246","2,344,382",33
1987,10,"772,368","345,732",45
1987,11,"1,911,195","952,539",50
1987,12,"1,367,380","383,397",28
1988,1,"1,664,542","563,188",34
1988,2,"1,954,046","429,893",22
1988,3,"1,204,621","310,938",26
1988,4,"1,440,407","334,180",23
1988,5,"9,977,976","2,246,639",23
1988,6,"846,794","184,231",22
1988,7,"2,608,450","1,301,848",50
1988,8,"612,909","223,565",36
1988,9,"416,698","180,760",43
1988,10,"223,225","86,660",39
1988,11,"1,211,826","401,187",33
1988,12,"218,612","49,021",22
1989,1,"573,355","153,605",27
1989,2,"676,794","210,369",31
1989,3,"2,182,953","565,752",26
1989,4,"1,947,457","383,222",20
1989,5,"17,371,002","4,566,313",26
1989,6,"16,488,654","4,271,654",26
1989,7,"8,554,940","2,133,684",25
1989,8,"2,968,428","595,992",20
1989,9,"1,832,928","513,304",28
1989,10,"4,079,309","1,419,621",35
1989,11,"1,613,728","531,192",33
1989,12,"196,127","37,897",19
1990,1,"1,389,695","366,751",26
1990,2,"719,600","141,907",20
1990,3,"806,136","193,998",24
1990,4,"2,493,118","515,671",21
1990,5,"5,387,243","1,650,335",31
1990,6,"2,089,867","517,411",25
1990,7,"1,772,201","670,563",38
1990,8,"3,984,384","1,269,439",32
1990,9,"264,489","69,477",26
1990,10,"2,797,070","849,047",30
1990,11,"1,553,556","647,876",42
1990,12,"1,524,365","369,373",24
1991,1,"2,933,316","692,320",24
1991,2,"275,299","52,004",19
1991,3,"2,890,709","861,556",30
1991,4,"971,510","182,392",19
1991,5,"353,875","84,869",24
1991,6,"111,171","21,231",19
1991,7,"123,888","27,049",22
1991,8,"262,889","103,939",40
1991,9,"454,552","178,654",39
1991,10,"417,510","203,162",49
1991,11,"233,889","109,397",47
1991,12,"875,954","273,004",31
1992,1,"297,704","84,206",28
1992,2,"418,033","129,371",31
1992,3,"1,455,022","585,158",40
1992,4,"569,289","152,486",27
1992,5,"608,770","224,102",37
1992,6,"1,114,245","451,156",40
1992,7,"2,379,105","1,167,201",49
1992,8,"462,957","162,957",35
1992,9,"786,196","328,927",42
1992,10,"607,238","306,672",51
1992,11,"1,656,990","586,468",35
1992,12,"2,965,908","1,404,208",47
1993,1,"1,580,534","381,099",24
1993,2,"698,065","193,188",28
1993,3,"8,929,760","2,069,112",23
1993,4,"6,467,150","1,327,672",21
1993,5,"1,904,984","418,693",22
1993,6,"1,025,755","265,058",26
1993,7,"221,460","58,308",26
1993,8,"377,857","151,912",40
1993,9,"389,819","195,957",50
1993,10,"256,219","75,584",29
1993,11,"2,698,657","1,693,710",63
1993,12,"2,961,679","1,406,136",47
1994,1,"2,362,391","524,310",22
1994,2,"4,066,290","1,128,025",28
1994,3,"8,099,162","1,839,224",23
1994,4,"2,573,959","496,662",19
1994,5,"1,159,233","241,519",21
1994,6,"416,926","105,998",25
1994,7,"1,670,979","780,688",47
1994,8,"2,525,354","993,033",39
1994,9,"918,740","354,072",39
1994,10,"250,077","53,435",21
1994,11,"315,458","74,180",24
1994,12,"429,224","119,615",28
1995,1,"1,052,578","371,394",35
1995,2,"222,258","57,592",26
1995,3,"1,347,062","678,463",50
1995,4,"242,747","63,118",26
1995,5,"995,358","292,519",29
1995,6,"351,029","80,296",23
1995,7,"495,222","176,663",36
1995,8,"1,006,913","631,145",63
1995,9,"251,279","80,674",32
1995,10,"2,595,958","1,019,378",39
1995,11,"2,437,073","863,297",35
1995,12,"723,102","197,595",27
1996,1,"5,391,732","1,912,774",35
1996,2,"1,212,384","260,852",22
1996,3,"1,662,704","419,107",25
1996,4,"2,057,839","476,186",23
1996,5,"2,533,212","525,657",21
1996,6,"6,255,592","2,207,919",35
1996,7,"5,334,157","2,229,688",42
1996,8,"3,551,413","1,109,940",31
1996,9,"6,271,543","1,715,135",27
1996,10,"4,232,467","1,396,035",33
1996,11,"4,800,938","1,870,500",39
1996,12,"8,400,031","2,117,048",25
1997,1,"1,813,849","443,366",24
1997,2,"1,664,291","394,383",24
1997,3,"3,290,419","883,806",27
1997,4,"1,581,831","392,012",25
1997,5,"1,885,205","981,406",52
1997,6,"1,239,778","429,212",35
1997,7,"166,952","36,665",22
1997,8,"795,739","480,930",60
1997,9,"162,155","39,105",24
1997,10,"352,176","123,180",35
1997,11,"2,153,977","955,189",44
1997,12,"261,014","65,305",25
1998,1,"2,171,981","907,453",42
1998,2,"2,892,643","881,820",30
1998,3,"4,933,324","1,352,761",27
1998,4,"1,947,886","431,326",22
1998,5,"3,219,151","844,669",26
1998,6,"1,282,266","344,292",27
1998,7,"246,731","63,655",26
1998,8,"125,335","28,659",23
1998,9,"80,910","17,975",22
1998,10,"84,679","26,143",31
1998,11,"64,310","14,758",23
1998,12,"55,010","12,388",23
1999,1,"779,209","235,810",30
1999,2,"199,850","57,084",29
1999,3,"812,432","248,896",31
1999,4,"313,168","69,847",22
1999,5,"166,172","39,011",23
1999,6,"109,665","28,089",26
1999,7,"66,613","15,443",23
1999,8,"1,416,173","756,590",53
1999,9,"9,858,551","5,021,749",51
1999,10,"770,282","217,660",28
1999,11,"487,416","200,533",41
1999,12,"1,016,479","484,955",48
2000,1,"481,725","173,974",36
2000,2,"1,182,548","374,672",32
2000,3,"2,710,560","1,129,248",42
2000,4,"3,018,150","807,063",27
2000,5,"742,465","166,942",22
2000,6,"1,653,227","484,936",29
2000,7,"1,903,180","637,614",34
2000,8,"846,717","203,352",24
2000,9,"3,404,585","1,511,501",44
2000,10,"252,883","55,903",22
2000,11,"196,037","47,328",24
2000,12,"1,317,651","744,823",57
2001,1,"900,496","345,109",38
2001,2,"829,658","211,268",25
2001,3,"2,514,466","951,847",38
2001,4,"1,295,833","303,409",23
2001,5,"2,525,756","952,736",38
2001,6,"6,722,052","2,438,828",36
2001,7,"1,330,841","396,341",30
2001,8,"673,286","235,322",35
2001,9,"498,443","178,836",36
2001,10,"106,996","22,701",21
2001,11,"199,978","82,530",41
2001,12,"144,782","32,011",22
2002,1,"146,211","34,111",23
2002,2,"65,788","14,369",22
2002,3,"412,447","122,948",30
2002,4,"1,098,134","504,850",46
2002,5,"1,057,439","469,057",44
2002,6,"181,784","50,443",28
2002,7,"178,524","52,422",29
2002,8,"157,748","81,593",52
2002,9,"228,528","80,547",35
2002,10,"1,033,046","417,161",40
2002,11,"1,781,345","754,364",42
2002,12,"2,270,402","813,029",36
2003,1,"1,861,622","821,986",44
2003,2,"4,967,046","2,422,492",49
2003,3,"6,404,070","1,710,938",27
2003,4,"2,326,883","591,791",25
2003,5,"6,612,071","2,093,916",32
2003,6,"20,491,855","5,836,520",28
2003,7,"4,137,550","1,047,420",25
2003,8,"1,541,643","359,707",23
2003,9,"17,042,673","6,294,606",37
2003,10,"5,926,259","2,148,158",36
2003,11,"6,874,850","1,895,267",28
2003,12,"9,210,240","2,768,165",30
2004,1,"1,005,284","228,059",23
2004,2,"4,370,205","1,538,311",35
2004,3,"1,496,062","415,269",28
2004,4,"3,428,260","947,372",28
2004,5,"1,722,544","442,527",26
2004,6,"1,427,081","452,775",32
2004,7,"3,144,350","1,495,818",48
2004,8,"2,039,142","763,060",37
2004,9,"1,231,382","615,821",50
2004,10,"214,515","54,880",26
2004,11,"1,106,025","476,118",43
2004,12,"873,048","314,899",36
