CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1989,5.37E+06,4.33E+06,6.58E+06,4.59E+05,5.74E+05,,,,,,
1990,5.50E+06,4.46E+06,6.72E+06,3.84E+05,5.77E+05,,,,,,
1991,1.92E+06,1.54E+06,2.37E+06,1.14E+05,2.13E+05,,,,,,
1992,2.46E+06,2.07E+06,2.91E+06,1.11E+05,2.16E+05,,,,,,
1993,7.52E+06,6.26E+06,8.95E+06,3.89E+05,6.86E+05,,,,,,
1994,8.26E+06,6.54E+06,1.03E+07,5.20E+05,9.60E+05,,,,,,
1995,2.78E+06,2.35E+06,3.26E+06,1.33E+05,2.33E+05,,,,,,
1996,8.85E+06,7.44E+06,1.04E+07,5.12E+05,7.66E+05,,,,,,
1997,4.45E+06,3.79E+06,5.20E+06,2.25E+05,3.59E+05,,,,,,
1998,9.71E+06,7.71E+06,1.21E+07,6.97E+05,1.11E+06,,,,,,
1999,1.93E+06,1.55E+06,2.38E+06,9.13E+04,2.13E+05,,,,,,
2000,2.47E+06,2.09E+06,2.91E+06,1.26E+05,2.10E+05,,,,,,
2001,1.92E+06,1.55E+06,2.35E+06,1.09E+05,2.04E+05,,,,,,
2002,1.09E+06,8.52E+05,1.36E+06,7.60E+04,1.31E+05,,,,,,
2003,1.23E+07,9.86E+06,1.51E+07,1.07E+06,1.34E+06,,,,,,
2004,7.48E+06,5.90E+06,9.36E+06,7.58E+05,8.84E+05,,,,,,
